solver,graph,seqs,seeds,covered,used,contigs,breaks,indels,diffs,identity
aco,ga,17,00001-00008,82.52,87.43,1.88,2.35,1.35,0.35,98.35
aco,km,38,00001-00008,68.58,91.39,2.47,2.45,0.71,0.18,98.66
aco,mg,35,00001-00007,52.74,94.15,4.46,1.49,0.31,0.06,99.23
mqlib,ga,40,00001-00008,78.76,89.83,1.77,2.75,0.47,0.17,98.89
mqlib,km,40,00001-00008,72.92,93.33,2.75,2.10,0.20,0.03,99.28
mqlib,mg,44,00001-00009,56.23,94.87,3.91,1.43,0.27,0.00,99.17
neural_aco,ga,21,00001-00006,68.80,85.58,2.10,3.71,0.38,0.14,98.87
neural_aco,km,36,00001-00008,70.35,90.44,2.94,2.06,0.36,0.08,98.84
neural_aco,mg,40,00001-00008,68.39,93.11,4.12,2.48,0.40,0.03,99.22
pathfinder,ga,40,00001-00008,84.59,90.47,1.85,2.12,0.78,0.10,98.89
pathfinder,km,40,00001-00008,82.57,87.30,2.62,3.12,0.57,0.20,98.84
pathfinder,mg,45,00001-00009,76.53,87.30,5.47,2.38,0.58,0.00,99.04
